b,n,c,m,dis
201002,75,201601,94,385.9544297299513
201002,75,201602,5,451.93154860595286
201002,75,201603,43,99.78783211675376
201002,75,201604,61,99.35803857851576
201002,75,201605,22,287.6241617833217
201002,75,201606,19,335.0423800112405
201002,75,201607,16,299.971722943071
201002,75,201608,37,83.8002074891511
201002,75,201609,15,269.0812357608041
201002,75,201610,56,309.87911974856235
201002,75,201611,6,337.5837223273948
201002,75,201612,32,179.85554101657706
201002,75,201613,15,252.91873351777596
201002,75,201614,85,419.76335253077065
201002,75,201615,4,164.4334463900465
201002,75,201616,99,301.8713239176524
201002,75,201617,80,201.87268480190895
201002,75,201618,80,405.7158838665039
201002,75,201620,28,382.12316514006756
201002,75,201621,101,138.600034201004
201002,75,201622,76,300.17649520195323
201002,75,201623,26,253.1586590329405
201002,75,201624,11,312.36784546287873
201002,75,201625,56,112.58346798148149
201002,75,201626,66,246.9159723521292
201002,75,201701,9,240.82269573115573
201002,75,201702,46,110.54833633001749
201002,75,201703,19,253.53459529025037
201002,75,201704,44,122.51386106823244
201002,75,201705,115,330.8740881178401
201002,75,201706,24,411.25670665805416
201002,75,201707,25,162.44889998056345
201002,75,201709,68,129.78672811229504
201002,75,201710,80,170.0757993439323
201002,75,201711,26,419.60549613162374
201002,75,201712,33,433.9823596777737
201002,75,201713,84,130.80038210968638
201002,75,201714,51,119.8410710803367
201002,75,201715,37,298.8656609861416
201002,75,201716,81,178.88048237028815
201002,75,201717,38,193.9014701333647
201002,75,201718,120,309.11929931466784
201002,75,201719,80,125.801951769164
201002,75,201720,85,106.63273610664977
201002,75,201721,51,295.3649856114884
201002,75,201722,37,218.3367030165013
201002,75,201723,66,120.68742434737926
201002,75,201724,62,118.69384575865348
201002,75,201725,23,187.70062486689957
201002,75,201726,64,164.44842539648897
201002,75,201727,43,103.3340052130306
201002,75,201801,19,198.8281502118936
201002,75,201802,29,232.05791405277577
201002,75,201803,42,237.21153879156913
201002,75,201804,108,191.20591466909582
201002,75,201805,37,230.97085717279757
201002,75,201806,22,176.37737984186103
201002,75,201807,46,184.77405039750496
201002,75,201808,71,337.7154514881221
201002,75,201809,51,151.75844251679993
201002,75,201810,112,212.538507999415
201002,75,201811,18,384.4360924663671
201002,75,201812,104,220.58986765100903
201002,75,201813,43,286.99169555351824
201002,75,201814,83,206.64816364164366
201002,75,201815,21,241.05372099097823
201002,75,201817,8,505.1213761516677
201002,75,201818,94,189.007631764262
201002,75,201819,78,267.225906892811
201002,75,201820,36,309.2640093391526
201002,75,201821,48,407.17373128990954
201002,75,201822,105,406.2869333707056
201002,75,201823,63,133.91004182173677
201002,75,201824,69,383.1627206286129
201002,75,201825,54,314.73613252514104
201002,75,201826,86,364.237747924329
201002,75,201827,9,208.86138949068598
201002,75,201828,37,208.11969614961464
201002,75,201829,27,145.52914199166835
201002,75,201901,30,167.34424371365725
201002,75,201902,52,320.40757393757633
201002,75,201903,6,336.15770301854053
201002,75,201904,47,141.63155122957704
201002,75,201905,94,201.7697616425383
201002,75,201906,9,272.0119417480534
201002,75,201907,77,108.16599496853189
201002,75,201908,29,227.36765666800832
201002,75,201909,158,387.3685591905346
201002,75,201910,62,248.59361931159364
201002,75,201911,61,117.36611285015127
201002,75,201912,52,130.1825531814734
201002,75,201913,127,404.2690472166557
201002,75,201914,26,166.1914010056831
201002,75,201915,31,322.4402148582621
201002,75,201916,6,301.2595606401941
201002,75,201917,65,205.48713217258032
201002,75,201918,85,175.4723115419698
201002,75,201919,44,409.8059666107001
201002,75,201920,27,168.55825851463499
201002,75,201921,36,328.40804474943036
201002,75,201922,33,146.88341061429068
201002,75,201923,33,367.63033564480736
201002,75,201924,135,147.21074581638453
201002,75,201925,33,304.20745343478154
201002,75,201926,58,150.4299751465027
201002,75,201927,25,123.58364205434546
201002,75,201928,88,171.63085703454834
201002,75,201929,82,130.88319731218874
201002,75,202001,32,128.3665755649722
201002,75,202002,54,132.97286196055953
201002,75,202003,33,137.4995902273433
201002,75,202004,98,190.2057764963709
201002,75,202005,36,302.94132485300895
201002,75,202006,33,134.3680206932252
201002,75,202007,50,96.87862216488955
201002,75,202008,133,295.5117430994753
201002,75,202009,103,351.46084751386576
201002,75,202010,47,310.5372065362806
201002,75,202011,62,122.86709578554066
201002,75,202012,18,214.0946145889803
201002,75,202013,20,367.4620544199924
201002,75,202014,32,202.93130139757417
201002,75,202015,17,160.78336018098673
201002,75,202016,66,116.70753510912974
201002,75,202017,127,107.68025219735839
201002,75,202018,66,152.90270146039316
201002,75,202019,124,301.6200285266074
201002,75,202020,99,130.6398611705988
201002,75,202021,45,116.50993513436948
201002,75,202022,97,137.15250595636195
201002,75,202023,36,200.71805129057554
201003,85,201001,8,223.9586298451521
201003,85,201002,75,92.57607801035977
201003,85,201003,85,0.0
201003,85,201004,65,173.90412963381954
201003,85,201005,42,68.02663689080421
201003,85,201006,124,120.9775573427542
201003,85,201007,49,240.3337598712801
201003,85,201008,36,164.42464197045672
201003,85,201009,67,184.70625138500134
201003,85,201010,66,95.62980962812009
201003,85,201011,97,231.51895111475153
201003,85,201012,19,302.10771783723635
201003,85,201013,141,383.85705387837777
201003,85,201014,45,238.01980636446672
201003,85,201101,57,179.27435345356517
201003,85,201102,63,345.88074947464605
201003,85,201103,34,167.52303180105173
201003,85,201104,100,105.71880643464546
201003,85,201105,80,222.77867752735932
201003,85,201106,40,312.0015223521351
201003,85,201107,2,243.0889793843026
201003,85,201108,82,79.22387284128457
201003,85,201109,125,311.42210891341654
201003,85,201110,24,366.88897085230974
201003,85,201111,107,240.33566967032615
201003,85,201112,40,226.366654429848
201003,85,201113,5,368.88847101251906
201003,85,201114,11,231.24401658160843
201003,85,201115,55,259.5926389784352
201003,85,201116,21,331.0061878630012
201003,85,201117,80,138.85139228995558
201003,85,201118,47,139.91501273705688
201003,85,201119,82,143.7968513755933
201003,85,201120,19,180.90618715635057
201003,85,201121,18,168.59701108813334
201003,85,201201,10,150.77870301444196
201003,85,201202,14,243.4733129028807
201003,85,201203,27,189.51703984499227
201003,85,201204,34,323.89128991425144
201003,85,201205,81,158.5212018266687
201003,85,201206,42,148.23439282024
201003,85,201207,30,223.7735180101465
201003,85,201208,82,98.43076949621182
201003,85,201209,116,166.05866544577063
201003,85,201210,75,245.97987184452174
201003,85,201211,101,187.7064646812061
201003,85,201212,4,413.9292611265639
201003,85,201213,77,125.23307441356268
201003,85,201214,228,291.57250286262325
201003,85,201215,82,328.7044656287403
201003,85,201216,48,336.311961524617
201003,85,201217,86,460.9564606786183
201003,85,201218,16,265.75638345043626
201003,85,201219,6,289.66884645986806
201003,85,201220,45,141.77107008725832
201003,85,201221,76,251.78010223232474
201003,85,201222,13,258.28358791880635
201003,85,201223,78,117.96015218071523
201003,85,201224,66,294.82521397127294
201003,85,201225,12,205.47622349454068
201003,85,201301,37,162.18291633722816
201003,85,201302,11,238.44352116845786
201003,85,201303,20,205.45307392301433
201003,85,201304,52,208.0628181912528
201003,85,201305,68,87.81187689757988
201003,85,201306,59,151.11997602185872
201003,85,201307,71,292.285546869993
201003,85,201308,47,149.21355071267394
201003,85,201309,58,90.1262423517122
201003,85,201310,35,135.91939088732272
201003,85,201311,99,197.9157837125615
201003,85,201312,88,153.95176680862255
201003,85,201313,28,488.75737802658756
201003,85,201314,2,524.810675962671
201003,85,201315,84,157.38942775177745
201003,85,201316,5,560.8943130569077
201003,85,201317,37,170.00865700470504
201003,85,201318,15,258.1554915979085
201003,85,201319,91,323.5802103767357
201003,85,201320,24,294.72934026999076
201003,85,201321,71,125.97832338159594
201003,85,201322,12,288.2370952478585
201003,85,201323,83,206.1259285039085
201003,85,201324,27,302.70395985630466
201003,85,201325,98,128.27944314840755
201003,85,201326,22,301.1774864953029
201003,85,201327,45,301.40533724981935
201003,85,201328,24,466.74684688910236
201003,85,201329,108,167.24966755931476
201003,85,201330,85,359.74533588819
201003,85,201331,15,225.53671960040543
201003,85,201401,8,276.4525392242879
201003,85,201402,8,206.28105094269318
201003,85,201403,20,326.4468713897559
201003,85,201404,19,239.97323735232362
201003,85,201405,13,286.2996996714597
201003,85,201406,6,245.51864744608753
201003,85,201407,40,173.39425374783107
201003,85,201408,76,340.8588880584333
201003,85,201409,107,286.7862997395129
201003,85,201410,112,213.91322862464438
201003,85,201411,75,346.6755239141046
201003,85,201412,92,166.8743888029605
201003,85,201413,19,547.8761984893384
201003,85,201414,20,261.34212948041625
201003,85,201415,69,176.71494313971056
201003,85,201416,125,182.16042511896066
201003,85,201417,21,291.620821352923
201003,85,201418,34,357.40621957963424
201003,85,201419,65,403.60528802467206
201003,85,201420,25,291.0371847498064
201003,85,201421,58,107.86977177290058
201003,85,201422,102,319.3594324626988
201003,85,201423,24,150.6435477261753
201003,85,201501,27,145.83199093621255
201003,85,201502,16,355.2860850044681
201003,85,201503,24,281.1589450784064
201003,85,201504,50,298.52832133879474
201003,85,201505,10,362.68969565548093
201003,85,201506,69,400.41201407922443
201003,85,201507,44,352.93878423118286
201003,85,201508,79,81.2309773320602
201003,85,201509,113,355.9932154978792
201003,85,201510,119,98.98258915798567
201003,85,201511,58,368.93471153934723
201003,85,201512,58,305.99410779620246
201003,85,201513,107,345.7601169041311
201003,85,201514,25,296.6640218465021
201003,85,201515,124,395.2408423689579
201003,85,201516,46,422.2392924396308
201003,85,201517,40,450.34756956886474
201003,85,201518,11,265.34674118395174
201003,85,201519,23,139.73302287690507
201003,85,201520,20,297.82113167726436
201003,85,201521,80,289.77913193447057
201003,85,201522,75,125.67619640829503
201003,85,201523,23,359.63767196291474
201003,85,201524,53,185.14659674893377
201003,85,201525,46,344.9903673241524
201003,85,201526,38,284.68197926928804
201003,85,201527,40,202.22601857182616
201003,85,201601,94,398.4933490671447
201003,85,201602,5,488.94944482063744
201003,85,201603,43,74.33818792394783
201003,85,201604,61,108.75234860302248
201003,85,201605,22,304.7397109150551
201003,85,201606,19,358.7165440024463
201003,85,201607,16,313.4378472933415
201003,85,201608,37,102.39214983411738
201003,85,201609,15,290.12544481012645
201003,85,201610,56,329.57030288006763
201003,85,201611,6,357.7220757327306
201003,85,201612,32,175.25920050781173
201003,85,201613,15,265.8530069957294
201003,85,201614,85,433.7583557567637
201003,85,201615,4,160.67413893056633
201003,85,201616,99,338.13004594686345
201003,85,201617,80,218.3291888760748
201003,85,201618,80,440.1708161641312
201003,85,201620,28,415.70820155628246
201003,85,201621,101,150.61558118834617
201003,85,201622,76,324.4185914486444
201003,85,201623,26,276.4106726232906
201003,85,201624,11,324.4079227602963
201003,85,201625,56,97.65642923959572
201003,85,201626,66,266.2001399051369
201003,85,201701,9,240.30738151872828
201003,85,201702,46,86.94033458770318
201003,85,201703,19,273.800452268322
201003,85,201704,44,110.32288050100017
201003,85,201705,115,372.1412453538394
201003,85,201706,24,435.196408803846
201003,85,201707,25,152.0083277925315
201003,85,201709,68,133.83130881699253
201003,85,201710,80,147.25617345082895
201003,85,201711,26,436.5863871364031
201003,85,201712,33,473.347170643328
201003,85,201713,84,147.35894947375945
201003,85,201714,51,143.62306661791925
201003,85,201715,37,318.26957642338874
201003,85,201716,81,125.60407961202857
201003,85,201717,38,171.50974216743973
201003,85,201718,120,334.73111571852684
201003,85,201719,80,122.31660393585818
201003,85,201720,85,104.90253027997396
201003,85,201721,51,338.84216264923583
201003,85,201722,37,250.3890095309818
201003,85,201723,66,127.86858498073333
201003,85,201724,62,99.9112148317237
201003,85,201725,23,186.01142679712146
201003,85,201726,64,156.39212305562626
201003,85,201727,43,140.70354424333937
201003,85,201801,19,199.89570807272
201003,85,201802,29,245.79873175723773
201003,85,201803,42,247.77757681523076
201003,85,201804,108,126.48052787807963
201003,85,201805,37,244.54703044588396
201003,85,201806,22,169.9025143593066
201003,85,201807,46,199.9045190416333
201003,85,201808,71,358.45555117452443
201003,85,201809,51,167.51110136620522
201003,85,201810,112,220.74572311989257
201003,85,201811,18,408.3405225637449
201003,85,201812,104,251.96084037983977
201003,85,201813,43,314.46596565676793
201003,85,201814,83,206.43788133758017
201003,85,201815,21,261.17650073363137
201003,85,201817,8,539.2978472809974
201003,85,201818,94,181.5625222905308
201003,85,201819,78,289.76549562972895
201003,85,201820,36,339.1295779335248
201003,85,201821,48,444.550643431572
201003,85,201822,105,456.5330119049891
201003,85,201823,63,110.09589385692747
201003,85,201824,69,417.2192465003858
201003,85,201825,54,338.13937490794655
201003,85,201826,86,412.2302568532964
201003,85,201827,9,195.1508975822884
201003,85,201828,37,238.54065245528457
201003,85,201829,27,129.14250931543694
201003,85,201901,30,162.42766391226593
201003,85,201902,52,344.2743769921697
201003,85,201903,6,321.5487256498352
201003,85,201904,47,117.78768573619617
201003,85,201905,94,203.4741284022884
201003,85,201906,9,271.54954923974316
201003,85,201907,77,88.16557169308228
201003,85,201908,29,250.74033218813076
201003,85,201909,158,389.885748525253
201003,85,201910,62,258.62838824613436
201003,85,201911,61,137.0672900731316
201003,85,201912,52,151.1778135795108
201003,85,201913,127,413.0889851960588
201003,85,201914,26,149.825637253514
